,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1,cardigan,folklore,Taylor Swift,2020-07-24,239560,86,0.613,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
8,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,85,0.298,0.778,0.298,0.38,5.62E-05,0.11,-8.426,0.0287,75.602,4
5,the 1,folklore,Taylor Swift,2020-07-24,210251,83,0.777,0.757,0.777,0.357,7.28E-06,0.108,-6.942,0.0522,139.883,4
10,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,81,0.771,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,4
13,august,folklore,Taylor Swift,2020-07-24,261922,81,0.532,0.538,0.532,0.623,7.28E-05,0.0925,-9.208,0.0331,89.937,4
16,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,80,0.686,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,4
17,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,80,0.456,0.806,0.456,0.263,0,0.0749,-10.63,0.0332,129.86,4
20,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,80,0.61,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,4
19,The Man,Lover,Taylor Swift,2019-08-23,190360,79,0.777,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,4
22,betty,folklore,Taylor Swift,2020-07-24,294521,79,0.593,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,4
31,invisible string,folklore,Taylor Swift,2020-07-24,252880,79,0.653,0.838,0.653,0.452,7.73E-05,0.108,-11.143,0.055,83.433,4
43,Lover,Lover,Taylor Swift,2019-08-23,221306,79,0.359,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,4
26,mirrorball,folklore,Taylor Swift,2020-07-24,208977,78,0.553,0.687,0.553,0.413,2.33E-06,0.0594,-10.037,0.0334,110.107,4
27,seven,folklore,Taylor Swift,2020-07-24,208906,78,0.596,0.9,0.596,0.488,2.70E-05,0.091,-10.769,0.0274,94.926,4
34,this is me trying,folklore,Taylor Swift,2020-07-24,195097,78,0.515,0.314,0.515,0.476,4.74E-05,0.171,-9.843,0.0328,135.886,4
36,illicit affairs,folklore,Taylor Swift,2020-07-24,190898,78,0.559,0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,4
40,mad woman,folklore,Taylor Swift,2020-07-24,237258,76,0.592,0.655,0.592,0.699,1.68E-05,0.114,-8.995,0.0471,141.916,4
42,peace,folklore,Taylor Swift,2020-07-24,234000,76,0.647,0.918,0.647,0.272,1.73E-05,0.0918,-12.906,0.0916,150.044,4
12,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,75,0.552,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,4
41,epiphany,folklore,Taylor Swift,2020-07-24,289749,75,0.354,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,4
48,hoax,folklore,Taylor Swift,2020-07-24,220042,75,0.662,0.966,0.662,0.181,3.86E-06,0.133,-15.065,0.0415,118.819,4
18,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019-11-13,221306,74,0.448,0.433,0.448,0.603,0,0.0862,-7.176,0.064,205.272,3
30,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,74,0.664,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,4
0,the lakes - bonus track,folklore (deluxe version),Taylor Swift,2020-08-18,211813,73,0.313,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,4
2,Love Story,Fearless,Taylor Swift,2008-11-11,235266,71,0.618,0.17,0.618,0.741,0,0.0822,-3.95,0.031,118.984,4
3,Blank Space,1989,Taylor Swift,2014-10-27,231826,71,0.752,0.085,0.752,0.678,1.64E-06,0.13,-5.421,0.0646,96.009,4
47,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,71,0.811,0.0129,0.811,0.719,1.36E-05,0.0742,-6.553,0.0497,103.979,4
11,Shake It Off,1989,Taylor Swift,2014-10-27,219200,70,0.648,0.0561,0.648,0.785,0,0.148,-5.414,0.165,160.02,4
60,The Archer,Lover,Taylor Swift,2019-08-23,211240,70,0.292,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
62,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,70,0.824,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,4
4,Wildest Dreams,1989,Taylor Swift,2014-10-27,220440,69,0.553,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,4
15,Only The Young - Featured in Miss Americana,Only The Young (Featured in Miss Americana),Taylor Swift,2020-01-31,157507,69,0.56,0.00244,0.56,0.78,0,0.0714,-4.895,0.0517,93.516,4
39,I Think He Knows,Lover,Taylor Swift,2019-08-23,173386,69,0.897,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4
52,London Boy,Lover,Taylor Swift,2019-08-23,190240,69,0.695,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,4
65,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,234146,69,0.662,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,4
66,Afterglow,Lover,Taylor Swift,2019-08-23,223293,69,0.756,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,4
70,Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,198533,69,0.712,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,4
14,All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,327893,68,0.602,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,4
23,You Belong With Me,Fearless,Taylor Swift,2008-11-11,231133,68,0.687,0.162,0.687,0.783,1.35E-05,0.114,-4.44,0.0386,129.964,4
29,I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,245653,68,0.734,0.0594,0.734,0.442,1.63E-05,0.213,-8.432,0.0557,117.967,4
75,Daylight,Lover,Taylor Swift,2019-08-23,293453,68,0.557,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4
80,False God,Lover,Taylor Swift,2019-08-23,200306,67,0.739,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,4
